255 255 0 1
240 195 0 1
255 203 96 1
240 227 107 1
255 244 141 1
232 214 48 1
226 188 116 1
252 220 18 1
237 211 140 1
205 205 13 1
208 192 122 1
251 242 183 1
237 255 12 1
255 255 5 1
247 255 60 1
173 79 9 1
230 230 151 1
255 255 107 1
239 155 15 1
239 210 66 1
209 182 6 1
231 240 13 1
223 255 0 1
253 238 0 1
255 240 188 1
239 216 9 1
255 228 54 1
254 248 108 1
199 207 0 1
247 226 105 1
128 128 0 1
254 227 71 1
247 227 95 1
255 222 117 1
239 209 83 1
179 177 145 1
218 179 10 1
223 175 44 1
221 152 92 1
255 215 0 1
252 210 28 1
182 120 35 1
195 180 112 1
168 152 116 1
224 205 169 1
243 214 23 1
255 255 107 1
250 234 115 1
225 206 154 1
231 168 84 1
0 0 255 0
121 248 248 0
0 127 255 0
30 127 203 0
116 208 241 0
169 234 254 0
58 142 186 0
104 111 140 0
84 114 174 0
84 114 174 0
0 149 182 0
38 196 236 0
15 157 232 0
53 122 183 0
142 162 198 0
23 101 125 0
142 162 198 0
119 181 254 0
34 66 124 0
36 68 92 0
49 140 231 0
0 51 102 0
36 68 92 0
21 96 189 0
0 204 203 0
223 242 255 0
16 52 166 0
44 117 255 0
86 115 154 0
127 143 166 0
96 80 220 0
3 34 76 0
115 194 251 0
36 68 92 0
15 5 107 0
27 1 155 0
43 0 154 0
6 119 144 0
102 0 255 0
29 72 81 0
49 140 231 0
1 49 180 0
0 142 142 0
0 51 153 0
10 186 181 0
66 91 138 0
38 196 236 0
4 139 154 0
116 208 241 0
0 255 255 0
43 250 250 0
187 210 225 0
128 208 208 0
121 28 248 0
46 0 108 0
75 0 130 0
0 47 167 0
33 23 125 0
38 97 156 0
150 131 236 0
86 115 154 0
204 204 255 0
37 253 233 0
255 0 0 0
145 40 59 0
109 7 26 0
132 46 27 0
187 11 11 0
231 62 1 0
237 0 0 0
191 48 48 0
164 36 36 0
199 44 72 0
253 63 146 0
233 56 63 0
110 11 20 0
254 150 160 0
255 111 125 0
255 0 255 0
128 0 128 0
219 0 115 0
212 115 212 0
252 93 93 0
221 152 92 0
145 40 59 0
158 14 64 0
129 20 83 0
255 0 127 0
217 1 21 0
247 35 12 0
165 38 10 0
107 13 13 0
255 94 77 0
184 32 16 0
150 0 24 0
219 23 2 0
253 70 38 0
198 8 0 0
150 0 24 0
220 20 60 0
169 17 1 0
235 0 0 0
128 24 24 0
247 35 12 0
188 32 1 0
254 27 0 0
255 73 1 0
238 16 16 0
207 10 29 0
198 8 0 0
224 17 95 0
133 6 6 0
222 41 22 0
174 74 52 0
169 17 1 0
219 23 2 0
253 70 38 0
199 21 133 0
152 87 23 0
115 8 0 0
141 64 36 0
204 78 92 0
255 9 33 0
108 2 119 0
0 255 0 0
121 248 248 0
123 160 91 0
0 142 142 0
4 139 154 0
131 166 151 0
128 208 208 0
100 155 136 0
27 79 8 0
135 233 144 0
148 129 43 0
22 184 78 0
84 249 141 0
20 148 20 0
37 253 233 0
127 221 76 0
130 196 108 0
24 57 30 0
159 232 85 0
86 130 3 0
9 106 9 0
194 247 50 0
0 255 0 0
24 57 30 0
149 165 149 0
34 120 15 0
176 242 182 0
1 215 88 0
0 86 27 0
47 79 79 0
58 137 35 0
0 86 27 0
121 137 51 0
133 193 126 0
158 253 56 0
31 160 85 0
56 111 72 0
89 102 67 0
103 159 90 0
112 141 35 0
151 223 198 0
58 242 75 0
1 121 111 0
190 245 116 0
76 166 107 0
52 201 36 0
87 213 59 0
76 166 107 0
0 255 127 0
9 82 40 0
104 157 113 0
1 215 88 0
165 209 82 0
88 111 45 0
64 130 109 0
