#,filename,width,height,vspeed,Vertical/Horizontal,Size Stellarmap,
bg,2D/Backgrounds/BGVertical_1.png,1080,5400,100,V,1,
#,enemies_name,proba,enemy_class,Level,spawnCost,repeatChance,MissChance
enemy,V_Alpha3,1,1,7,3,0.4f,0.4f
enemy,V_Sigma2,1,2,7,10,0.1f,0.4f
enemy,V_Sigma3,2,2,7,,,
enemy,V_Beta2,1,3,7,12,0.4f,0.4f
enemy,V_Beta3,2,3,7,,,
enemy,V_Gamma1,1,3,7,,,
enemy,V_Gamma2,2,3,7,,,
enemy,V_Delta1,1,5,7,16,0.0f,0.2f
#,name,enemy_class,spawnX,spawnY,rotation,,
boss,Katyusha,7,0.5,-0.15,0,,
boss,Itsukoi,0,0.4,-0.05,0,,
boss,Hatsuki,0,0.6,-0.05,0,,
