#,filename,width,height,vspeed,Vertical/Horizontal,
bg,Assets/2D/Backgrounds/BGVertical_1.png,1080,5400,75,V,
#,enemies_name,proba,enemy_class,spawnCost,repeatChance,MissChance
enemy,V_Alpha2,1,1,4,0.3f,0.30f
enemy,V_Alpha3,1,1,,,
enemy,V_Sigma2,1,2,8,0.2f,0.3f
enemy,V_Sigma3,2,2,,,
enemy,V_Beta2,1,3,12,0.2,0.30f
enemy,V_Beta3,2,3,,,
enemy,V_Gamma3,1,4,10,0.4f,0.3f
enemy,V_Delta1,1,5,15,0.3f,0.3f
enemy,V_Zeta_01,2,0,1,0.2f,0.6f
enemy,V_Zeta_02,1,0,1,0.2f,0.6f
enemy,V_Zeta_03,2,0,1,0.2f,0.6f
enemy,V_Zeta_04,1,0,1,0.2f,0.6f
enemy,V_Zeta_05,2,0,1,0.2f,0.6f
enemy,V_Zeta_06,1,0,1,0.2f,0.6f
